idAll_in,Molecule,idMol,State,Mass,Te,omega_e,omega_ex_e,Be,alpha_e,De,Re,D0,IP,Reference_date,Reference,Contributor,Updated_date,id_user
1,AgAl,1,X $^1\\Sigma^+$,21.5440781,0,254.34,1.13,0.12796,0.00076,1.27,2.4728,1.95,\N,OCT 1974,\N,Jesus Perez Rios,2019-09-15,2
2,AgAl,1,B $^1\\Sigma^+$,21.5440781,27459.17,199.85,1.66,0.11706,0.00112,1.6,2.5854,\N,\N,OCT 1974,\N,Jesus Perez Rios,2019-09-15,2
3,AgAl,1,C $^1\\Pi$,21.5440781,31744.8,221.06,\N,0.1225,\N,1.6,2.525,\N,\N,OCT 1974,\N,Jesus Perez Rios,2019-09-15,2
4,AgBi,2,X $0^+$,71.5949106,0,152.14,0.405,0.0198,4E-05,0.0135,3.45,\N,\N,FEB 1975,\N,Jesus Perez Rios,2019-09-15,2
5,AgBi,2,X\' $1$,71.5949106,4185,148.5,0.5,0.0199,5E-05,0.0143,3.44,\N,\N,FEB 1975,\N,Jesus Perez Rios,2019-09-15,2
6,AgBi,2,A $0^+$,71.5949106,16364,144,0.53,0.02,6E-05,0.0153,3.43,\N,\N,FEB 1975,\N,Jesus Perez Rios,2019-09-15,2
7,AgBi,2,B $0^+$,71.5949106,20753,145.29,0.335,\N,\N,\N,\N,\N,\N,FEB 1975,\N,Jesus Perez Rios,2019-09-15,2
8,AgBr,3,X $^1\\Sigma^+$,46.4235609,0,247.72,0.679,0.06341,0.00023,0.17,2.3931,3.1,\N,OCT 1974,\N,Jesus Perez Rios,2019-09-15,2
9,AgBr,3,B $0^+$,46.4235609,31280.43,180.8,4.45,\N,\N,\N,\N,\N,\N,OCT 1974,\N,Jesus Perez Rios,2019-09-15,2
10,AgBr,3,C,46.4235609,43537.4,205,0.74,\N,\N,\N,\N,\N,\N,OCT 1974,\N,Jesus Perez Rios,2019-09-15,2
11,AgCl,4,X $^1\\Sigma$,26.3497888,0,343.49,1.17,0.12298,0.0006,0.63054,2.2808,3.22,\N,OCT 1974,\N,Jesus Perez Rios,2019-09-15,2
12,AgCl,4,B $0^+$,26.3497888,31602.65,278.36,4.047,0.11913,0.00149,0.94,2.3174,\N,\N,OCT 1974,\N,Jesus Perez Rios,2019-09-15,2
13,AgCl,4,C,26.3497888,43525.7,294.1,1.7,\N,\N,\N,\N,\N,\N,OCT 1974,\N,Jesus Perez Rios,2019-09-15,2
14,AgCl,4,D,26.34979,48880,290,\N,\N,\N,\N,\N,\N,\N,OCT 1974,\N,Jesus Perez Rios,2019-09-15,2
15,AgF,5,X $^1\\Sigma^+$,16.1316107,0,513.45,2.593,0.2657,0.00192,2.84,1.9832,3.64,\N,OCT 1974,\N,Jesus Perez Rios,2019-09-15,2
16,AgF,5,A $0^+$,16.1316107,29220,455.39,\N,0.27268,0.00593,3.71,1.9576,\N,\N,OCT 1974,\N,Jesus Perez Rios,2019-09-15,2
17,AgF,5,B $0^+$,16.1316107,31663,373.6,\N,0.25549,\N,4.72,2.0224,\N,\N,OCT 1974,\N,Jesus Perez Rios,2019-09-15,2
18,AgH,6,X $^1\\Sigma^+$,0.99841289,0,1759.9,34.06,6.449,0.201,3.44,1.6181,2.28,\N,OCT 1974,\N,Jesus Perez Rios,2019-09-15,2
19,AgH,6,A $^1\\Sigma^+$,0.99841289,29959,1489.6,87,6.09,0.348,3.89,1.665,\N,\N,OCT 1974,\N,Jesus Perez Rios,2019-09-15,2
20,AgD,7,X $^1\\Sigma^+$,1.97685802,0,1250.7,17.17,3.2572,0.0722,859,1.618,2.31,\N,OCT 1974,\N,Jesus Perez Rios,2019-09-15,2
21,AgD,7,A $^1\\Sigma^+$,1.97685802,29960.04,1160.82,31.73,3.154,0.1,970,1.6443,\N,\N,OCT 1974,\N,Jesus Perez Rios,2019-09-15,2
22,AgI,8,X $^1\\Sigma^+$,58.0247195,0,206.52,0.445,0.04487,0.00014,0.0847,2.5446,2.6,\N,NOV 1974,\N,Jesus Perez Rios,2019-09-15,2
23,AgI,8,B $0^+$,58.0247195,31194.06,127.14,4.255,0.04072,0.00057,0.219,2.6712,\N,\N,NOV 1974,\N,Jesus Perez Rios,2019-09-15,2
24,AlBr,9,X $^1\\Sigma^+$,20.1070892,0,378,1.28,0.15197,0.00086,1.1285,2.294807,4.43,\N,NOV 1975,\N,Jesus Perez Rios,2019-09-15,2
25,AlBr,9,a $^3\\Pi_0$,20.1070892,23647,411.2,1.28,\N,\N,\N,\N,\N,\N,NOV 1975,\N,Jesus Perez Rios,2019-09-15,2
26,AlBr,9,a $^3\\Pi_1$,20.1070892,23779.3,410.32,1.75,0.164,0.001,\N,2.26,\N,\N,NOV 1975,\N,Jesus Perez Rios,2019-09-15,2
27,AlBr,9,A $^1\\Pi$,20.1070892,35879.5,297.2,6.4,0.1555,0.00216,1.8,2.322,\N,\N,NOV 1975,\N,Jesus Perez Rios,2019-09-15,2
28,AlCl,10,X $^1\\Sigma^+$,15.2301459,0,481.3,1.95,0.24393,0.00161,2.5027,2.130113,5.12,\N,NOV 1975,\N,Jesus Perez Rios,2019-09-15,2
29,AlCl,10,a $^3\\Pi$,15.2301459,24528,524.35,2.175,0.25,0.002,\N,2.1,\N,\N,NOV 1975,\N,Jesus Perez Rios,2019-09-15,2
30,AlCl,10,a $^3\\Pi$,15.2301459,24593.84,524.35,2.175,0.25,0.002,\N,2.1,\N,\N,NOV 1975,\N,Jesus Perez Rios,2019-09-15,2
31,AlCl,10,a $^3\\Pi$,15.2301459,24658,524.35,2.175,0.25,0.002,\N,2.1,\N,\N,NOV 1975,\N,Jesus Perez Rios,2019-09-15,2
32,AlCl,10,A $^1\\Pi$,15.2301459,38254,449.96,4.37,0.259,0.006,\N,2.067,\N,\N,NOV 1975,\N,Jesus Perez Rios,2019-09-15,2
33,AlF,11,X $^1\\Sigma^+$,11.148474,0,802.26,4.77,0.55248,0.00498,10.464,1.654369,6.89,9.8,MAR 1976,\N,Jesus Perez Rios,2019-09-15,2
34,AlF,11,a $^3\\Pi$,11.148474,27241,827.8,3.9,0.55703,0.00453,9.82,1.6476,\N,\N,MAR 1976,\N,Jesus Perez Rios,2019-09-15,2
35,AlF,11,A $^1\\Pi$,11.148474,43949.2,803.94,5.99,0.5564,0.00534,10.56,1.6485,\N,\N,MAR 1976,\N,Jesus Perez Rios,2019-09-15,2
36,AlH,12,X $^1\\Sigma^+$,0.97153602,0,1682.56,29.09,6.3907,0.1858,3565,1.6478,3.06,\N,NOV 1975,\N,Jesus Perez Rios,2019-09-15,2
37,AlH,12,C $^1\\Sigma^+$,0.97153602,44676,1575.3,125.5,6.664,0.544,5500,1.6136,\N,\N,NOV 1975,\N,Jesus Perez Rios,2019-09-15,2
38,AlD,13,X $^1\\Sigma^+$,1.87419817,0,1211.95,15.14,3.3186,0.0697,970,1.6463,3.09,\N,NOV 1975,\N,Jesus Perez Rios,2019-09-15,2
